compound_id,compound_name,canonical_smiles,structure_key,structure_id,connectivity_group,original_dili_category,dili_label,label_source,structure_source,pubchem_cid,standardization_version,source_compound_ids,source_original_categories
LT00003,Mercaptopurine,S=c1nc[nH]c2nc[nH]c12,GLVAUDGFNGKCSF-UHFFFAOYSA-N,7a70d9b57e1eec8799fdc4df198fe86fd777ccf5a8d59e591f13416fd13ffe13,GLVAUDGFNGKCSF,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/667490,667490,dilirank_parent_v1,"[""LT00003""]","[""vMost-DILI-concern""]"
LT00004,Acetaminophen,CC(=O)Nc1ccc(O)cc1,RZVAJINKPMORJF-UHFFFAOYSA-N,dda3a9922d04eb902d8226b4ca3f7966b9c4f30666612b6d84115dd627a81cbb,RZVAJINKPMORJF,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/1983,1983,dilirank_parent_v1,"[""LT00004""]","[""vMost-DILI-concern""]"
LT00006,Azathioprine,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,LMEKQMALGUDUQG-UHFFFAOYSA-N,5cb009784d78090417aec960961077d871afdf8313128061d11a7cf5471b567d,LMEKQMALGUDUQG,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/2265,2265,dilirank_parent_v1,"[""LT00006""]","[""vMost-DILI-concern""]"
LT00009,Chlorpheniramine maleate,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,SOYKEARSMXGVTM-UHFFFAOYSA-N,730b5f3ef517e637097daebf262579830499ac6584ca3be529acc39429e231a3,SOYKEARSMXGVTM,vNo-DILI-concern,0,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/5281068,5281068,dilirank_parent_v1,"[""LT00009""]","[""vNo-DILI-concern""]"
LT00011,Clofibrate,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,KNHUKKLJHYUCFP-UHFFFAOYSA-N,ad5603d6d5e071c47e58270b34263ed2e1c95a63a50f950b56a5780bbc33edee,KNHUKKLJHYUCFP,vLess-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/2796,2796,dilirank_parent_v1,"[""LT00011""]","[""vLess-DILI-concern""]"
LT00013,Cyclophosphamide,O=P1(N(CCCl)CCCl)NCCCO1,CMSMOCZEIVJLDB-UHFFFAOYSA-N,b95261c442abb8337baa831de8ee014a7ef7fdaee5483a02a2922b5c656db6d1,CMSMOCZEIVJLDB,vLess-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/2907,2907,dilirank_parent_v1,"[""LT00013""]","[""vLess-DILI-concern""]"
LT00015,Dopamine hydrochloride,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,b48eff575d5ecd5dbb6dd6f018cd88cd54f945911995b5d2f9b5ac3550bd1bfa,VYFYYTLLBUKUHU,vNo-DILI-concern,0,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/65340,65340,dilirank_parent_v1,"[""LT00015""]","[""vNo-DILI-concern""]"
LT00016,Estradiol valerate,CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,RSEPBGGWRJCQGY-RBRWEJTLSA-N,6eab195e993c8f35c806fe47768c54db29fdf71448ecf897c94a9cfc1e3d3a18,RSEPBGGWRJCQGY,vLess-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/13791,13791,dilirank_parent_v1,"[""LT00016""]","[""vLess-DILI-concern""]"
LT00018,Fluoxetine hydrochloride,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,77f6096aaed70c9e4ce4a784119c518e98fcf4b7c933a45e74bfaee651f6c5f3,RTHCYVBBDHJXIQ,vLess-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/62857,62857,dilirank_parent_v1,"[""LT00018""]","[""vLess-DILI-concern""]"
LT00020,Gemfibrozil,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,HEMJJKBWTPKOJG-UHFFFAOYSA-N,c6fbc18868f54dc6576eec1c11bce80dc10f88d8fc089145ae38c2b8d6f39b2a,HEMJJKBWTPKOJG,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/3463,3463,dilirank_parent_v1,"[""LT00020""]","[""vMost-DILI-concern""]"
LT00022,Indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CGIGDMFJXJATDK-UHFFFAOYSA-N,800235cc39112facb9fc21411a4639df0d08ccd97e26e66605b8a94690006600,CGIGDMFJXJATDK,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/3715,3715,dilirank_parent_v1,"[""LT00022""]","[""vMost-DILI-concern""]"
