LTKBID,CompoundName,SeverityClass,LabelSection,vDILI-Concern,Comment,source_excel_row,original_dili_category,dili_category,dili_label,compound_id,compound_name,label_source,structure_source,mapping_status,model_eligible,exclusion_reason,canonical_smiles,structure_key,structure_id,connectivity_group,standardization_version,retrieved_smiles,pubchem_cid,pubchem_inchikey,synonyms,lookup_url,lookup_retrieved_at,candidate_cids,candidate_structures,molecular_formula,source_molecular_weight,synonym_source,removed_fragments,parent_molecular_weight,source_compound_ids
LT03618,Abaloparatide,0,No match,vNo-DILI-concern,New,4,vNo-DILI-concern,No-DILI-concern,0,LT03618,Abaloparatide,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/76943386,exact_pubchem_synonym,False,outside_initial_size_scope,,,,,dilirank_parent_v1,CC[C@H](C)[C@@H](C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NC(C)(C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C)C(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC2=CN=CN2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC3=CN=CN3)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)N,76943386,BVISQZFBLRSESR-XSCWXTNMSA-N,"[""Abaloparatide"", ""Tymlos"", ""BA058"", ""BIM-44058"", ""247062-33-5"", ""AVK0I6HY2U"", ""abaloparatida"", ""abaloparatidum"", ""RefChem:58773"", ""DTXSID201027906"", ""BA-058"", ""L-Alaninamide, L-alanyl-L-valyl-L-seryl-L-alpha-glutamyl-L-histidyl-L-glutaminyl-L-leucyl-L-leucyl-L-histidyl-L-alpha-aspartyl-L-lysylglycyl-L-lysyl-L-seryl-L-isoleucyl-L-glutaminyl-L-alpha-aspartyl-L-leucyl-L-arginyl-L-arginyl-L-arginyl-L-alpha-glutamyl-L-leucyl-L-leucyl-L-alpha-glutamyl-L-lysyl-L-leucyl-L-leucyl-2-methylalanyl-L-lysyl-L-leucyl-L-histidyl-L-threonyl-"", ""UNII-AVK0I6HY2U"", ""Abaloparatide [USAN:INN]"", ""Abaloparatide-SC"", ""CHEMBL4084894"", ""SCHEMBL29379965"", ""BDBM50246337"", ""AT41878""]","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Abaloparatide/property/IsomericSMILES,InChIKey,MolecularFormula,MolecularWeight/JSON?name_type=complete",2026-09-19T15:14:58.551947+00:00,[76943386],"[{""CID"": 76943386, ""MolecularFormula"": ""C174H300N56O49"", ""MolecularWeight"": ""3961"", ""SMILES"": ""CC[C@H](C)[C@@H](C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NC(C)(C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C)C(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC2=CN=CN2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC3=CN=CN3)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)N"", ""InChIKey"": ""BVISQZFBLRSESR-XSCWXTNMSA-N""}]",C174H300N56O49,3961,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/71584930,71586738,71587153,71602803,71657455,71661158,71731823,71761627,72163100,72196309,73049652,73053710,73330464,73416227,73442840,73759969,73952271,76943386,76966897,76970819,78131177,78357761,78357807,86346053,86705695,86707828,90480031,91618104,91754427,91864509,91971505,92042922,92043599,92044406,117947097,118023034,118513932,118856773,118984441,118984456/synonyms/JSON",,,
LT01402,Abatacept,0,No match,vLess-DILI-concern,Unchanged,5,vLess-DILI-concern,Less-DILI-concern,1,LT01402,Abatacept,https://www.fda.gov/media/113052/download?attachment=,,unresolved,False,name_not_found,,,,,dilirank_parent_v1,,,,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Abatacept/property/IsomericSMILES,InChIKey,MolecularFormula,MolecularWeight/JSON?name_type=complete",2026-09-19T15:14:58.964137+00:00,[],[],,,,,,
LT01330,Abciximab,0,No match,vNo-DILI-concern,Unchanged,6,vNo-DILI-concern,No-DILI-concern,0,LT01330,Abciximab,https://www.fda.gov/media/113052/download?attachment=,,unresolved,False,name_not_found,,,,,dilirank_parent_v1,,,,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Abciximab/property/IsomericSMILES,InChIKey,MolecularFormula,MolecularWeight/JSON?name_type=complete",2026-09-19T15:14:59.309812+00:00,[],[],,,,,,
LT01387,Adalimumab,7,Adverse reactions,vLess-DILI-concern,Unchanged,21,vLess-DILI-concern,Less-DILI-concern,1,LT01387,Adalimumab,https://www.fda.gov/media/113052/download?attachment=,,unresolved,False,name_not_found,,,,,dilirank_parent_v1,,,,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Adalimumab/property/IsomericSMILES,InChIKey,MolecularFormula,MolecularWeight/JSON?name_type=complete",2026-09-19T15:15:07.011955+00:00,[],[],,,,,,
LT02385,Agalsidase beta,0,No match,vNo-DILI-concern,Unchanged,25,vNo-DILI-concern,No-DILI-concern,0,LT02385,Agalsidase beta,https://www.fda.gov/media/113052/download?attachment=,,unresolved,False,name_not_found,,,,,dilirank_parent_v1,,,,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Agalsidase%20beta/property/IsomericSMILES,InChIKey,MolecularFormula,MolecularWeight/JSON?name_type=complete",2026-09-19T15:15:08.875512+00:00,[],[],,,,,,
LT01319,Aldesleukin,3,Warnings & precautions,Ambiguous-DILI-concern,Unchanged,31,Ambiguous-DILI-concern,Ambiguous-DILI-concern,,LT01319,Aldesleukin,https://www.fda.gov/media/113052/download?attachment=,,unresolved,False,name_not_found,,,,,dilirank_parent_v1,,,,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Aldesleukin/property/IsomericSMILES,InChIKey,MolecularFormula,MolecularWeight/JSON?name_type=complete",2026-09-19T15:15:12.606788+00:00,[],[],,,,,,
LT01364,Alemtuzumab,0,No match,vLess-DILI-concern,Revised,33,vLess-DILI-concern,Less-DILI-concern,1,LT01364,Alemtuzumab,https://www.fda.gov/media/113052/download?attachment=,,unresolved,False,name_not_found,,,,,dilirank_parent_v1,,,,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Alemtuzumab/property/IsomericSMILES,InChIKey,MolecularFormula,MolecularWeight/JSON?name_type=complete",2026-09-19T15:15:14.363041+00:00,[],[],,,,,,
LT01404,Alglucosidase alfa,0,No match,vNo-DILI-concern,Unchanged,37,vNo-DILI-concern,No-DILI-concern,0,LT01404,Alglucosidase alfa,https://www.fda.gov/media/113052/download?attachment=,,unresolved,False,name_not_found,,,,,dilirank_parent_v1,,,,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Alglucosidase%20alfa/property/IsomericSMILES,InChIKey,MolecularFormula,MolecularWeight/JSON?name_type=complete",2026-09-19T15:15:15.103295+00:00,[],[],,,,,,
LT01053,Almotriptan malate,0,No match,vNo-DILI-concern,Unchanged,40,vNo-DILI-concern,No-DILI-concern,0,LT01053,Almotriptan malate,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/123607,exact_pubchem_synonym,False,unresolved_multicomponent_structure,,,,,dilirank_parent_v1,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3.C(C(C(=O)O)O)C(=O)O,123607,QHATUKWEVNMHRY-UHFFFAOYSA-N,"[""Almotriptan malate"", ""181183-52-8"", ""Almotriptan maleate"", ""LAS 31416 D,L-malate acid"", ""PNU-180638E"", ""PJP312605E"", ""DTXSID1044225"", ""CHEBI:53781"", ""RefChem:57721"", ""DTXCID9024225"", ""815-382-1"", ""Axert"", ""MFCD08067740"", ""Almotriptan (malate)"", ""Almotriptan malate [USAN]"", ""Almotriptan d,l-hydrogenmalate"", ""N,N-dimethyl-2-(5-((pyrrolidin-1-ylsulfonyl)methyl)-1H-indol-3-yl)ethan-1-amine 2-hydroxysuccinate"", ""N,N-dimethyl-2-[5-(pyrrolidin-1-ylsulfonylmethyl)-1H-indol-3-yl]ethanamine;2-hydroxybutanedioic acid"", ""LAS-31416 D,L-Malate acid"", ""1-[[3-(2-dimethylaminoethyl)-5-indolyl]methanesulphonyl]pyrrolidine Malate"", ""LAS-31416-D,L-MALATE-ACID"", ""1-(((3-(2-(Dimethylamino)ethyl)-1H-indol-5-yl)methyl)sulfonyl)pyrrolidine, hydroxybutanedioate (1:1)"", ""1-(((3-(2-(Dimethylamino)ethyl)indol-5-yl)methyl)sulfonyl)pyrrolidine malate (1:1)"", ""PNU 180638E"", ""UNII-PJP312605E"", ""SR-05000001986"", ""C21H31N3O7S"", ""1-[({3-[2-(Dimethylamino)ethyl]indol-5-yl}methyl)sulfonyl]pyrrolidine malate (1:1)"", ""Axert (TN)"", ""181183-52-8(Almotriptan Malate)"", ""Almotriptan malate CRS"", ""Almotriptan malate (USP)"", ""1-(((3-(2-(Dimethylamino)ethyl)-1H-indol-5-yl)methyl)sulfonyl)pyrrolidine, hydroxybutanedionate (1:1)"", ""MLS006010048"", ""SCHEMBL221131"", ""orb1225882"", ""orb1305707"", ""ALMOTRIPTAN MALEATE [MI]"", ""CHEMBL1200521"", ""Almotriptan (malate) (Standard)"", ""HY-B0383R"", ""QHATUKWEVNMHRY-UHFFFAOYSA-N"", ""ALMOTRIPTAN MALATE [VANDF]"", ""Almotriptan Malate(PNU180638)"", ""GLXC-04953"", ""HMS3651A12"", ""HMS3884P05"", ""HMS5080A10"", ""ALMOTRIPTAN MALATE [MART.]"", ""ALMOTRIPTAN MALATE [USP-RS]"", ""ALMOTRIPTAN MALATE [WHO-DD]"", ""Almotriptan Malate(PNU180638)?"", ""HY-B0383"", ""EBC-80171"", ""s2096"", ""AKOS015950790"", ""CCG-269445"", ""FA33641"", ""PNU 180638"", ""ALMOTRIPTAN MALATE [ORANGE BOOK]"", ""ALMOTRIPTAN MALATE [EP MONOGRAPH]"", ""AC-37609"", ""ALMOTRIPTAN MALATE [USP MONOGRAPH]"", ""AS-12142"", ""SMR004701216"", ""SY234226"", ""A3111"", ""SW219418-1"", ""T2317"", ""D02825"", ""F14758"", ""SBI-0653438.0001"", ""SR-05000001986-2"", ""Q27124206"", ""1-(((3-(2-(Dimethylamino)ethyl)indol-5-yl)methyl)sulfonyl)pyrrolidine malate"", ""3-[2-(Dimethylamino)ethyl]-5-(pyrrolidin-1-ylsulfonylmethyl )-1H-indole malate"", ""1-(((3-(2-(Dimethylamino)ethyl)-1H-indol-5-yl)methyl)sulfonyl)pyrrolidine hydroxybutanedioate"", ""2-Hydroxybutanedioic acid--N,N-dimethyl-2-{5-[(pyrrolidine-1-sulfonyl)methyl]-1H-indol-3-yl}ethan-1-amine (1/1)""]","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Almotriptan%20malate/property/IsomericSMILES,InChIKey,MolecularFormula,MolecularWeight/JSON?name_type=complete",2026-09-19T15:15:16.768286+00:00,[123607],"[{""CID"": 123607, ""MolecularFormula"": ""C21H31N3O7S"", ""MolecularWeight"": ""469.6"", ""SMILES"": ""CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3.C(C(C(=O)O)O)C(=O)O"", ""InChIKey"": ""QHATUKWEVNMHRY-UHFFFAOYSA-N""}]",C21H31N3O7S,469.6,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/82146,84003,84029,86471,91274,91430,91442,91505,91513,92151,92722,92786,92974,94328,101526,104741,104769,104865,107882,107952,107969,108150,110635,114869,115237,115355,115366,119182,119569,119607,120608,121396,121587,123596,123607,123631,124087,129228,130881,130904/synonyms/JSON",,,
LT02888,Alogliptin benzoate,8,Warnings & precautions,Ambiguous-DILI-concern,New,41,Ambiguous-DILI-concern,Ambiguous-DILI-concern,,LT02888,Alogliptin benzoate,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/16088021,exact_pubchem_synonym,False,unresolved_multicomponent_structure,,,,,dilirank_parent_v1,CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCC[C@H](C3)N.C1=CC=C(C=C1)C(=O)O,16088021,KEJICOXJTRHYAK-XFULWGLBSA-N,"[""Alogliptin benzoate"", ""850649-62-6"", ""Nesina"", ""SYR-322"", ""SYR 322"", ""Alogliptin (as benzoate)"", ""EEN99869SC"", ""CHEBI:72324"", ""OSENI COMPONENT ALOGLIPTIN BENZOATE"", ""KAZANO COMPONENT ALOGLIPTIN BENZOATE"", ""Benzonitrile, 2-((6-((3R)-3-amino-1-piperidinyl)-3,4-dihydro-3-methyl-2,4-dioxo-1(2H)-pyrimidinyl)methyl)-, monobenzoate"", ""SYR322"", ""2-((6-((3R)-3-AMINOPIPERIDIN-1-YL)-3-METHYL-2,4-DIOXO-3,4-DIHYDROPYRIMIDIN-1(2H)-YL)METHYL)BENZONITRILE MONOBENZOATE"", ""2-({6-[(3R)-3-Aminopiperidin-1-yl]-3-methyl-2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl}methyl)benzonitrile monobenzoate"", ""RefChem:57143"", ""691-730-4"", ""(R)-2-((6-(3-aminopiperidin-1-yl)-3-methyl-2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl)methyl)benzonitrile benzoate"", ""MFCD09833195"", ""Alogliptin (Benzoate)"", ""ALOGLIPTIN BENZOATE [WHO-DD]"", ""2-[[6-[(3R)-3-aminopiperidin-1-yl]-3-methyl-2,4-dioxopyrimidin-1-yl]methyl]benzonitrile;benzoic acid"", ""Benzonitrile, 2-[[6-[(3R)-3-amino-1-piperidinyl]-3,4-dihydro-3-methyl-2,4-dioxo-1(2H)-pyrimidinyl]methyl]-, benzoate (1:1)"", ""2-((6-((3R)-3-amino-1-piperidinyl)-3,4-dihydro-3-methyl-2,4-dioxo-1(2H)- pyrimidinyl)methyl)benzonitrile monobenzoate"", ""6-((3R)-3-aminopiperidin-1-yl)-1-(2-cyanobenzyl)-3-methylpyrimidin-2,4(1H,3H)-dione monobenzoate"", ""Benzonitrile,2-[[6-[(3R)-3-amino-1-piperidinyl]-3,4-dihydro-3-methyl-2,4-dioxo-1(2H)-pyrimidinyl]methyl]-, monobenzoate"", ""Alogliptin, benzoate"", ""850649-62-6 (benzoate)"", ""Alogliptin benzoate [USAN]"", ""UNII-EEN99869SC"", ""C25H27N5O4"", ""Alogliptin benzoate [USAN:JAN]"", ""Vipidia (TN)"", ""Alogliptin Benzoate?"", ""Nesina (TN)"", ""RISLENE"", ""alogliptin monobenzoate"", ""2-[[6-[(3R)-3-Amino-1-piperidinyl]-3,4-dihydro-3-methyl-2,4-dioxo-1(2H)-pyrimidinyl]methyl]benzonitrile benzoate"", ""SCHEMBL476231"", ""CHEMBL227529"", ""orb1223858"", ""orb1305540"", ""ALOGLIPTIN BENZOATE [MI]"", ""SCHEMBL30216225"", ""Alogliptin benzoate (JAN/USAN)"", ""HY-A0023R"", ""ALOGLIPTIN BENZOATE [JAN]"", ""DTXSID20582095"", ""Alogliptin (Benzoate) (Standard)"", ""GLXC-07088"", ""ALOGLIPTIN BENZOATE [VANDF]"", ""ALOGLIPTIN BENZOATE [MART.]"", ""HY-A0023"", ""AC-021"", ""EBC-80277"", ""AKOS015917686"", ""CS-0761"", ""FA61528"", ""ALOGLIPTIN BENZOATE [ORANGE BOOK]"", ""AS-14073"", ""SY098405"", ""D06553"", ""Q27888443"", ""(3R)-1-[3-(2-cyanobenzyl)-1-methyl-2,6-dioxo-1,2,3,6-tetrahydropyrimidin-4-yl]piperidin-3-aminium benzoate"", ""2-({6-[(3R)-3-Amino-1-piperidinyl]-3-methyl-2,4-dioxo-3,4-dihydro-1(2H)-pyrimidinyl}methyl)benzonitrile benzoate"", ""2-({6-[(3R)-3-aminopiperidin-1-yl]-3-methyl-2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl}methyl)benzonitrile benzoate"", ""2-[[6-[(3R)-3-amino-1-piperidyl]-3-methyl-2,4-dioxo-pyrimidin-1-yl]methyl]benzonitrile;benzoic acid"", ""Benzoic acid--2-({6-[(3R)-3-aminopiperidin-1-yl]-3-methyl-2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl}methyl)benzonitrile (1/1)""]","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Alogliptin%20benzoate/property/IsomericSMILES,InChIKey,MolecularFormula,MolecularWeight/JSON?name_type=complete",2026-09-19T15:15:17.358428+00:00,[16088021],"[{""CID"": 16088021, ""MolecularFormula"": ""C25H27N5O4"", ""MolecularWeight"": ""461.5"", ""SMILES"": ""CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCC[C@H](C3)N.C1=CC=C(C=C1)C(=O)O"", ""InChIKey"": ""KEJICOXJTRHYAK-XFULWGLBSA-N""}]",C25H27N5O4,461.5,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/14148199,14720269,15008962,15606394,15950376,15951529,16004692,16006490,16051935,16051948,16051951,16051968,16052011,16088021,16124688,16129617,16129704,16130199,16130295,16132265,16132344,16134956,16158208,16186010,16203739,16204922,16214875,16219709,16220016,16220172,16399351,16667669,16759173,17755248,21155870,21585658,22058225,23658607,23662354,23663537/synonyms/JSON",,,
